code,name,prev_shares,curr_shares,delta,status
1303,南亞,2000,3164000,3162000,UP
2368,金像電,2947000,3832000,885000,UP
3653,健策,973000,1117000,144000,UP
2383,台光電,2109000,2177000,68000,UP
6223,旺矽,1139000,1184000,45000,UP
8299,群聯,871000,696000,-175000,DOWN
6274,台燿,4965000,3475000,-1490000,DOWN
1319,東陽,1499000,1499000,0,SAME
1326,台化,2000,2000,0,SAME
1802,台玻,5996000,5996000,0,SAME
1815,富喬,2000,2000,0,SAME
2002,中鋼,4924000,4924000,0,SAME
2059,川湖,2000,2000,0,SAME
2308,台達電,3616000,3616000,0,SAME
2313,華通,2000,2000,0,SAME
2327,國巨*,7937000,7937000,0,SAME
2330,台積電,3418000,3418000,0,SAME
2345,智邦,2660000,2660000,0,SAME
2357,華碩,3000,3000,0,SAME
2404,漢唐,567000,567000,0,SAME
2439,美律,3000,3000,0,SAME
2449,京元電子,4055000,4055000,0,SAME
2454,聯發科,201000,201000,0,SAME
3008,大立光,5000,5000,0,SAME
3017,奇鋐,2502000,2502000,0,SAME
3037,欣興,5952000,5952000,0,SAME
3045,台灣大,3000,3000,0,SAME
3211,順達,1565000,1565000,0,SAME
3217,優群,353000,353000,0,SAME
3324,雙鴻,156000,156000,0,SAME
3376,新日興,1395000,1395000,0,SAME
3533,嘉澤,2000,2000,0,SAME
3583,辛耘,3000,3000,0,SAME
3661,世芯-KY,568000,568000,0,SAME
3665,貿聯-KY,2193848,2193848,0,SAME
3711,日月光投控,1237000,1237000,0,SAME
4979,華星光,1219000,1219000,0,SAME
5274,信驊,104000,104000,0,SAME
5536,聖暉*,2000,2000,0,SAME
6139,亞翔,1689000,1689000,0,SAME
6191,精成科,3378000,3378000,0,SAME
6488,環球晶,1694000,1694000,0,SAME
6510,精測,359000,359000,0,SAME
6515,穎崴,236000,236000,0,SAME
6669,緯穎,787000,787000,0,SAME
6805,富世達,1124000,1124000,0,SAME
8046,南電,4559000,4559000,0,SAME
8210,勤誠,1806000,1806000,0,SAME
8358,金居,1864000,1864000,0,SAME
8996,高力,1000,1000,0,SAME
