code,name,shares
2303,聯電,46374000
2327,國巨*,17220000
2317,鴻海,13977000
2449,京元電子,12918000
8046,南電,12657000
3711,日月光投控,11059000
2330,台積電,10714000
3037,欣興,10386000
2368,金像電,8260000
6147,頎邦,7984000
3264,欣銓,6994000
2345,智邦,6131000
2308,台達電,6118000
8358,金居,5558000
3189,景碩,5359000
2002,中鋼,5162000
3665,貿聯-KY,4623848
2383,台光電,4505000
2454,聯發科,4363000
6191,精成科,3987000
3017,奇鋐,3902000
2481,強茂,3653000
6274,台燿,3257000
5439,高技,3178000
2337,旺宏,2956000
2313,華通,2623000
3653,健策,2267000
6223,旺矽,1921000
6669,緯穎,1769000
6805,富世達,1741000
3376,新日興,1711000
6187,萬潤,1223000
8210,勤誠,1117000
2404,漢唐,1092000
8996,高力,934000
6510,精測,930000
3217,優群,844000
6415,矽力*-KY,660000
1319,東陽,510000
1590,亞德客-KY,510000
3443,創意,488000
5274,信驊,473000
6515,穎崴,397000
4966,譜瑞-KY,376000
8150,南茂,368000
3661,世芯-KY,296000
1815,富喬,107000
5347,世界,63000
2357,華碩,17000
2439,美律,17000
4979,華星光,1000
