code,name,prev_shares,curr_shares,delta,status
1590,亞德客-KY,1000,1000,0,SAME
2002,中鋼,5163000,5163000,0,SAME
2303,聯電,87118000,87118000,0,SAME
2308,台達電,7320000,7320000,0,SAME
2313,華通,501000,501000,0,SAME
2317,鴻海,1000,1000,0,SAME
2327,國巨*,24757000,24757000,0,SAME
2330,台積電,11464000,11464000,0,SAME
2345,智邦,6264000,6264000,0,SAME
2360,致茂,1000,1000,0,SAME
2368,金像電,1634000,1634000,0,SAME
2382,廣達,1000,1000,0,SAME
2383,台光電,4650000,4650000,0,SAME
2408,南亞科,1000,1000,0,SAME
2439,美律,1000,1000,0,SAME
2449,京元電子,12938450,12938450,0,SAME
2454,聯發科,5086000,5086000,0,SAME
2481,強茂,5000,5000,0,SAME
2637,慧洋-KY,1000,1000,0,SAME
3008,大立光,1000,1000,0,SAME
3017,奇鋐,5889000,5889000,0,SAME
3037,欣興,20100000,20100000,0,SAME
3264,欣銓,4982000,4982000,0,SAME
3376,新日興,1740000,1740000,0,SAME
3443,創意,388000,388000,0,SAME
3653,健策,2502000,2502000,0,SAME
3661,世芯-KY,1000,1000,0,SAME
3665,貿聯-KY,3876848,3876848,0,SAME
3711,日月光投控,13966000,13966000,0,SAME
4958,臻鼎-KY,3483000,3483000,0,SAME
4966,譜瑞-KY,1000,1000,0,SAME
4979,華星光,1000,1000,0,SAME
5274,信驊,168900,168900,0,SAME
5347,世界,1000,1000,0,SAME
6187,萬潤,1000,1000,0,SAME
6191,精成科,3921000,3921000,0,SAME
6223,旺矽,2499000,2499000,0,SAME
6271,同欣電,2185000,2185000,0,SAME
6274,台燿,5886000,5886000,0,SAME
6278,台表科,3193000,3193000,0,SAME
6488,環球晶,1000,1000,0,SAME
6510,精測,251000,251000,0,SAME
6515,穎崴,93000,93000,0,SAME
6669,緯穎,4873561,4873561,0,SAME
6805,富世達,1673000,1673000,0,SAME
8046,南電,8937000,8937000,0,SAME
8150,南茂,1000,1000,0,SAME
8210,勤誠,1139000,1139000,0,SAME
8358,金居,1000,1000,0,SAME
8996,高力,476000,476000,0,SAME
