code,name,shares
2303,聯電,87518000
2327,國巨*,25387000
3037,欣興,20300000
3711,日月光投控,19479000
2330,台積電,11884000
2449,京元電子,11275450
8046,南電,9624000
2308,台達電,7040000
2345,智邦,6564000
3264,欣銓,5917000
3017,奇鋐,5899000
6274,台燿,5498000
2002,中鋼,5163000
2454,聯發科,5148000
2383,台光電,4843000
3665,貿聯-KY,4671848
6191,精成科,3988000
6278,台表科,3249000
6223,旺矽,2486000
8210,勤誠,2477000
4979,華星光,2424000
3653,健策,2395000
6805,富世達,2264000
6669,緯穎,2226000
6271,同欣電,2223000
2368,金像電,1957000
3376,新日興,1741000
4958,臻鼎-KY,1645000
8996,高力,1101000
6187,萬潤,483000
6510,精測,477000
5274,信驊,410900
2637,慧洋-KY,200000
3443,創意,142000
4966,譜瑞-KY,140000
2481,強茂,5000
2382,廣達,1000
2408,南亞科,1000
2317,鴻海,1000
2313,華通,1000
1590,亞德客-KY,1000
2360,致茂,1000
2439,美律,1000
5347,世界,1000
3008,大立光,1000
3661,世芯-KY,1000
6488,環球晶,1000
6515,穎崴,1000
8150,南茂,1000
8358,金居,1000
