code,name,shares
2303,聯電,75890000
2327,國巨*,21168000
3711,日月光投控,17948000
3037,欣興,12466000
2330,台積電,11960000
8150,南茂,11635000
8046,南電,10828000
2368,金像電,8315000
2317,鴻海,7307000
2308,台達電,6572000
2345,智邦,6334000
6147,頎邦,5775000
3017,奇鋐,5191000
2002,中鋼,5163000
3665,貿聯-KY,4833848
6274,台燿,4763000
2454,聯發科,4649000
2383,台光電,4486000
6278,台表科,4334000
6191,精成科,3988000
2449,京元電子,3645000
5439,高技,3528000
6669,緯穎,2492000
6223,旺矽,2279000
3653,健策,2267000
8210,勤誠,2267000
6805,富世達,1811000
3376,新日興,1741000
4966,譜瑞-KY,1642000
4958,臻鼎-KY,1428000
6187,萬潤,1334000
2404,漢唐,1200000
6271,同欣電,1066000
8996,高力,1034000
8358,金居,980000
6510,精測,930000
3533,嘉澤,852000
1590,亞德客-KY,530000
6515,穎崴,442000
5274,信驊,422000
2313,華通,329000
1319,東陽,278000
3443,創意,258000
1815,富喬,107000
2439,美律,18000
2481,強茂,5000
2382,廣達,1000
5347,世界,1000
3661,世芯-KY,1000
3264,欣銓,1000
3008,大立光,1000
